"2021-07-15","surf_prelude_ksf","maps are not beginner at all ;(","Sen","","",371623515
"2021-07-14","surf_treasurehunt_go","-= 1 =- da ricariia ","VocaL_*","","",57050893
"2021-07-14","surf_zoomathon","miaa","Boykah (\u25b0\u02d8\ufe39\u02d8\u25b0)","","",73100790
"2021-07-13","surf_zeitgeist","nvm ","HesK","","",106711751
"2021-07-13","surf_zeitgeist","remove b2 bot","HesK","","",106711751
"2021-07-11","surf_proximity_final","beat anyway","LEFFE","","",80969784
"2021-07-11","surf_proximity_final","s4 gotta be lagged with this startzone","LEFFE","","",80969784
"2021-07-11","surf_fruits2","s9 one of the ramps launches you vertically (first red ramp)","Sotiris","","",125283608
"2021-07-11","surf_vegetables","s2 ??","LEFFE","","",80969784
"2021-07-11","surf_anthropomorphic","wrcp5 seems lagged","twitch.tv\/redvenomsurf","","",463273158
"2021-07-10","surf_garden_go","rivalaz","Siruz","","",280536220
"2021-07-10","surf_ebony","b3 cheat","jovi =D","","",866587375
"2021-07-09","surf_ny_momentum_v3_1","map bad","Rainy\u2122","","",876542669
"2021-07-09","surf_prolix_fix","no bot","Saosinv2","","",206981724
"2021-07-08","surf_blackside","bhopped s2 in wr and wrcp","zeyn","","",11390063
"2021-07-08","surf_runner","morbid",",_,","","",373317527
"2021-07-07","surf_ebony","b3 bhop","bueno","","",861456598
"2021-07-07","surf_prolix_fix","no bot and map is diff from css so whats route? XD","Don","","",106711751
"2021-07-07","surf_lore_e","s7 is easily a t3 stage, wouldnt call this map t2","Sotiris","","",
"2021-07-07","surf_horizon_njv","im stuck","JAFFA CAKE","","",82270406
"2021-07-04","surf_egypt2","Harry","Karachi-","","",921950319
"2021-07-04","surf_furios","s4 that is for the previous report","Sotiris","","",
"2021-07-04","surf_furios","playstage bot just uses portal glitch, doesnt do it properly","Sotiris","","",
"2021-07-03","surf_dynamics_fixed","b1 start","LEFFE","","",80969784
"2021-07-03","surf_whiteout","checkpoint on the map is shit. ther eis no point starting from checkpoitns becoz you cannot pass ","Chronos_Khora","","",34375737
"2021-07-03","surf_whiteout","map is broken","Chronos_Khora","","",34375737
"2021-07-02","surf_666","s2 spine","LEFFE","","",80969784
"2021-07-02","surf_skyfall_final","s5 bhop","Liquidator","","",353708445
"2021-07-02","surf_skyfall_final","s3 bhop","Liquidator","","",353708445
"2021-07-01","surf_treasurehunt_go","Sometimes you dont get respawned if you land on an edge of the spiral on b2","ItSocks","","",207328784
"2021-07-01","surf_pantheon","cock and nuts","D-03181","","",133434216
"2021-07-01","surf_pantheon","frOGGY","the beet 2.0","","",916839705
"2021-07-01","surf_parc_colore","s5 ?","Don","","",106711751
"2021-07-01","surf_parc_colore","b3 funny bhop boost","Don","","",106711751
"2021-06-30","surf_parc_colore","wrcp s5 bugged","megacutechicken","","",298786834
"2021-06-29","surf_not_so_quick","s4 spinehop","Liquidator","","",353708445
"2021-06-27","surf_beyond","B3 should not be a thing (Just delete B3 Command)","El Chapo","","",1094986599
"2021-06-27","surf_beyond","B3 time wont stop","El Chapo","","",1094986599
"2021-06-26","surf_noble","s1 superboost","&gt;:( \u0660 Mr.PogoMogoFogoNogo","","",183313005
"2021-06-26","surf_whiteout","joshy","we love betrefs.gg","","",1036513231
"2021-06-26","surf_skyfall_final","failing under first ramp b4 sends you to b3 startzone","erk","","",120084621
"2021-06-26","surf_oma","horrible, glitchy bonus","Sotiris","","",125283608
"2021-06-25","surf_spacejam","Shang","Hugh Jass","","",167604242
"2021-06-25","surf_8bit","me bad jokes","Chris brown's domestic violence","","",147736384
"2021-06-25","surf_lavaflow","wr bot gains ~400 units out of nowhere on the spiral bit before the final ramp","Sotiris","","",125283608
"2021-06-24","surf_noble","boost on s1 gives too much boost sometimes","ItSocks","","",207328784
"2021-06-24","surf_aeron","shitty map","Silatichaut","","",196469216
"2021-06-22","surf_summit","cpr @15 lmao cheated","LEFFE","thanks deleted","Robert",80969784
"2021-06-19","surf_cubic","s8 weird speed boost, he gets 200+ units for some reason","megacutechicken","","",298786834
"2021-06-19","surf_cubic","all these wrcps have 475-485 start whats up","Herm\u00e8s","","",289222444
"2021-06-19","surf_kz_protraining","leffe cboosts the thing booster on b3","Herm\u00e8s","","",289222444
"2021-06-18","surf_cubic","im pretty sure this map had a bonus","rusty james\u1d50\u02e2\u1d9c","","",72643368
"2021-06-17","surf_classics2","im stuck in the ground on stage 3","ONLY INFO IN ENGLISH OR MUTE","","",130051650
"2021-06-17","surf_classics2","this map is so scuffed its implayable","ONLY INFO IN ENGLISH OR MUTE","","",130051650
"2021-06-16","surf_hotwheels","last few of the b8 times are bugged they actually surfed the map","rusty james\u1d50\u02e2\u1d9c","","",72643368
