"OPEN","2020-08-22","surf_neo_njv","The Punisher Use of r-word &amp; f-word","Donmessa","","",98194850
"OPEN","2020-08-22","surf_pantheon","nap1x","ClappedByJxnnis","","",1052893546
"OPEN","2020-08-22","surf_lament_n2p","map way too hard pls remove","zucc","","",311407118
"OPEN","2020-08-22","surf_pantheon","i wanna report user : Victorytello  talking about rape stuff alot ","Joe","","",4767547
"OPEN","2020-08-22","surf_pantheon","everyone for being bad at surf","ItSocks","","",207328784
"OPEN","2020-08-22","surf_izded","484 start units on s2?","Herm\u00e8s","","",289222444
"OPEN","2020-08-22","surf_bob","im glitched","SzKNeo","","",225613281
"OPEN","2020-08-21","surf_aser","ganjy nword","Donmessa","","",98194850
"OPEN","2020-08-21","surf_classics3_fix","vitva \/ reason : why u bully me ?","Joe","","",4767547
"OPEN","2020-08-20","surf_primero_njv","last ramp doesnt fucking work","Herm\u00e8s","","",289222444
"OPEN","2020-08-20","surf_epic","bhop in s1 legal?","kakali","","",58335254
"OPEN","2020-08-20","surf_epic","s2 legal?","kakali","","",58335254
"OPEN","2020-08-20","surf_rez","some anoying kids in here ","\u272a Thomaster","","",104261362
"OPEN","2020-08-19","surf_aircontrol_ksf","please fix b2 its litteraly unplayable","Herm\u00e8s","","",289222444
"OPEN","2020-08-19","surf_awakening","can you make !toggleadds disable server advertisements too?","t\u00f6h\u00f6","","",195456787
"OPEN","2020-08-19","surf_beginner","\u05d9\u05e9 \u05dc\u05d9 \u05e7\u05e7\u05d9 \u05e7\u05e9\u05d4 \u05de\u05d0\u05d5\u05d3 \u05d5\u05e6\u05d5\u05d7\u05e7\u05d9\u05dd \u05e2\u05dc\u05d9","MR poposmiter","","",1086567240
"OPEN","2020-08-19","surf_ny_momentum_v3_1","what is this map honestly","Linkz","","",270291028
"OPEN","2020-08-19","surf_utopia_njv","lee spam","Vivid","","",249658265
"OPEN","2020-08-17","surf_take1","no map bot","Bengal Tygryski","","",77014206
