"2020-10-14","surf_666","s3 lagged","leffe","","",80969784
"2020-10-14","surf_forgotten","b3 bhop trigger","jovi =D","","",866587375
"2020-10-14","surf_distraction_v2","fix drops to s3 and s4 pls","Pign\u00fc","","",244891175
"2020-10-13","surf_borderlands","a legit lawyer hes annoying and a dickhead","pog","","",842077587
"2020-10-13","surf_egypt2","egypt2 bonus skip","81579182","","",240010037
"2020-10-13","surf_egypt2","bonus fucked","Charlie\u2122","","",126179276
"2020-10-13","surf_egypt2","illegal bonus route?","erkster","","",120084621
"2020-10-13","surf_amplitude_encore","no bot","Emma","","",38458798
"2020-10-13","surf_minecraft_2016_final","grain aimbot","grain","","",1043589040
"2020-10-12","surf_aser","-sdy","Vae Victoribus","","",46912538
"2020-10-11","surf_whiteout","Bug Stucked at Stage 6\/6 at the beginning ","*Kris","","",888881407
"2020-10-11","surf_simpsons_go_rc2","JUUT123 just is being a dick head","pog","","",842077587
"2020-10-10","surf_leet_xl_beta7z_","worst map ever, everything is buggy glitchy and its super ugly","NooNoo","","",120027594
"2020-10-10","surf_fornax","activezuk","Lezly","","",
"2020-10-09","surf_parc_colore","nice s1 bot","leffe","ty","Robert",80969784
"2020-10-07","surf_network2008_final","nice spinehops","leffe","","",80969784
"2020-10-07","surf_island","surf_midsommar isn't on server5","&gt;:( \u0660 Mr.PogoMogoFogoNogo","ty","Robert",183313005
"2020-10-06","surf_cannonball","b2 bhop on ledge","Sketchy","","",49314674
"2020-10-06","surf_christmas2_fix","constant lagging s9 christmas2","Burstz_Bbe &lt;3","","",1000329865
"2020-10-03","surf_bork_nbv","s6 bot kinda broken","Herm\u00e8s","","",289222444
"2020-10-03","surf_not_so_disaster","b2 lagged","jovi =D","ty","Robert",866587375
"2020-10-01","surf_mate","b1 end bhop","jovi =D","","",866587375
"2020-09-28","surf_hero","blocked bhop on the slope before last ramp so u can lose 500 units for no reason depending on where u land xddddd","leffe","dont know where","Robert",80969784
"2020-09-28","surf_intra","I get 4 fps at the anti-gravity part before the end (linux)","jkdsk","","",126379536
"2020-09-25","surf_hotrod","b2 double boost","semer","ty","Robert",83676170
"2020-09-24","surf_commune_too_beta5","s3 (:","leffe","thanks!","Robert",80969784
"2020-09-23","surf_deathstar","&quot;CEO OF SWAG&quot; &quot;spam&quot;","\u272a nemixdev","will keep an eye on him","Robert",185477078
"2020-09-22","surf_redemption_b1","wtf is this s3?","twitch.tv\/hsk1903","","",106711751
"2020-09-20","surf_quickie","b3 lagged","jovi =D","","",866587375
"2020-09-16","surf_ethereal","he used the rings on s3 for wrcp","Herm\u00e8s","yes, removed","bro",
"2020-09-15","surf_lovetunnel_fix","this map is a lot time without votes\\","Behance","not sure what you mean, report again if an issue with vote system (?)","bro",1023730978
"2020-09-15","surf_quarantine","dex's report on sacrifice b1 is about liquidators time, i didnt bhop.","HsK","its been resolved","bro",106711751
"2020-09-12","surf_how2surf","stage 29 rampbug","Blaze","not much we can do about that, sorry","bro",80938715
"2020-09-11","surf_bork_nbv","fix map endzone lmao","latosaysikasi","ty","Robert",162106814
"2020-09-09","surf_s_t_a_t_i_o_n","s4 fix stupid booster","latosaysikasi","","",162106814
"2020-09-05","surf_misc","s5 wrcp legal?","Kakali","Yes sir thats the s5 route ever since map was added many years ago","Robert",58335254
"2020-09-01","surf_germania","s5 3rd last ramp right side cant be tagged by spray","Saosin v2","unfortunate","Robert",206981724
